"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","use_for_first_analysis","use_for_trophic_analysis","Highest_taxonomic_resolution","sampling_season","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","above_below","perc_annual_dist","time_after_dist_start","Country","Validity","Functional_group_size.y","body_length.y","body_width_taxa","mean_width","control_SD","dist_SD","lat","lon","trophic_to_use","exoskeleton","trap","study_year","cv_Control","cv_Experimental","geary_control","geary_trt","geary_test","lnrr_laj","v_lnrr_laj","yi","vi","rr_diff","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda","aridity"
"1","Bakonyi_2007a","Bakonyi_2007a_1","alpha diversity","taxonomic richness",FALSE,TRUE,FALSE,"Nematoda","Spring","drought","undisturbed vs disturbed",23.7,22.6,3.1,2.7,"SD",3,3,"belowground",-16.67,760,"Hungary","Low validity","microfauna","Nematoda","Nematoda",0.0634,2.7,3.1,46.8833333333333,19.3833333333333,NA,"no","Other",2007,0.119469026548673,0.130801687763713,26.7653663255088,24.4464143758109,"pass",0.0479978473990699,0.0104744331329201,0.0475251418628453,0.0104606432754411,0.000472705536224645,0.102277286214688,6,0.666666666666667,0.816496580927726,0.4745
"2","Homet_2021a","Homet_2021a_1","alpha diversity","taxonomic richness",FALSE,TRUE,FALSE,"Mesofauna","Autumn","drought","undisturbed vs disturbed",2.447761194,3.164179104,0.417910448,0.417910448,"SE",21,92,"aboveground",-30,92,"Spain","Low validity","mesofauna",NA,NA,NA,4.00845620088028,1.91510626167291,36.568749,-5.53564,NA,"yes","Other",2021,1.26682342216753,0.782390972766156,15.1018195787153,11.576470581479,"pass",-0.250867153875093,0.046881739497159,-0.256719846709066,0.0465932461669083,0.00585269283397299,0.215854687618565,68.3893805309735,0.0584886128364389,0.241844191239812,0.4913
"3","Homet_2021a","Homet_2021a_1","alpha diversity","taxonomic richness",FALSE,TRUE,FALSE,"Mesofauna","Spring","drought","undisturbed vs disturbed",10.02985075,9.552238806,0.537313433,0.537313433,"SE",43,274,"aboveground",-30,274,"Spain","Low validity","mesofauna",NA,NA,NA,8.89411989616372,3.52339980517916,36.568749,-5.53564,NA,"yes","Other",2021,0.931103176626729,0.351291349492829,35.5231439171408,37.1175337211569,"pass",0.0486430822667749,0.00603852236216847,0.0487901645383308,0.00603396046071598,0.000147082271555909,0.0776785714384345,148.668769716088,0.0269054489899847,0.164028805366572,0.4913
"4","Homet_2021a","Homet_2021a_1","alpha diversity","taxonomic richness",FALSE,TRUE,FALSE,"Mesofauna","Winter","drought","undisturbed vs disturbed",9.731343284,8.955223881,0.47761194,0.597014925,"SE",43,594,"aboveground",-30,594,"Spain","Low validity","mesofauna",NA,NA,NA,14.5505165365226,3.13191093502262,36.568749,-5.53564,NA,"yes","Other",2021,1.62480767983857,0.321837473370405,29.9873790693133,40.5144508941134,"pass",0.0820970956434562,0.00685965562480781,0.0831149067084514,0.00685326674698763,0.00101781106499518,0.0827844595741715,160.389324960754,0.0249393156369901,0.157921865607616,0.4913
"5","Homet_2021a","Homet_2021a_2","alpha diversity","taxonomic richness",FALSE,TRUE,FALSE,"Mesofauna","Spring","drought","undisturbed vs disturbed",1.86,3.18,0.48,0.48,"SE",43,43,"aboveground",-30,0,"Spain","Low validity","mesofauna",NA,NA,NA,3.14757049166496,3.14757049166496,36.568749,-5.53564,NA,"yes","Other",2021,0.989802041404075,1.69224219981987,13.1734104046243,7.70520231213873,"pass",-0.514398016256702,0.0906197798832385,-0.536304709066976,0.0893812033492761,0.0219066928102735,0.298966893400049,86,0.0465116279069767,0.215665546406877,0.4913
"6","Homet_2021a","Homet_2021a_2","alpha diversity","taxonomic richness",FALSE,TRUE,FALSE,"Mesofauna","Summer","drought","undisturbed vs disturbed",2.52,3.18,0.42,0.42,"SE",43,43,"aboveground",-30,92,"Spain","Low validity","mesofauna",NA,NA,NA,2.75412418020684,2.75412418020684,36.568749,-5.53564,NA,"yes","Other",2021,0.866076786228566,1.092906420717,15.0553261767135,11.9306358381503,"pass",-0.227455371492004,0.0454906819120422,-0.232622295268754,0.0452217080020569,0.00516692377674946,0.212653963052789,86,0.0465116279069767,0.215665546406877,0.4913
"7","Homet_2021a","Homet_2021a_2","alpha diversity","taxonomic richness",FALSE,TRUE,FALSE,"Mesofauna","Winter","drought","undisturbed vs disturbed",10.2,9.78,0.42,0.42,"SE",43,43,"aboveground",-30,274,"Spain","Low validity","mesofauna",NA,NA,NA,2.75412418020684,2.75412418020684,36.568749,-5.53564,NA,"yes","Other",2021,0.281607789387202,0.270012174530082,46.3022295623452,48.2906688687036,"pass",0.0419738598173473,0.00354132531278226,0.0420482362434994,0.00353975631251188,7.43764261521423e-05,0.0594958512210043,86,0.0465116279069767,0.215665546406877,0.4913
"8","Homet_2021a","Homet_2021a_2","alpha diversity","taxonomic richness",FALSE,TRUE,FALSE,"Mesofauna","Autumn","drought","undisturbed vs disturbed",9.78,9.12,0.6,0.6,"SE",43,43,"aboveground",-30,594,"Spain","Low validity","mesofauna",NA,NA,NA,3.9344631145812,3.9344631145812,36.568749,-5.53564,NA,"yes","Other",2021,0.431410429230395,0.402296841981718,30.2242774566474,32.4115606936416,"pass",0.0695874449676919,0.00810026467633122,0.069869679960486,0.00809203970970272,0.000282234992794075,0.0899557652944085,86,0.0465116279069767,0.215665546406877,0.4913
"9","Lindberg_2004a","Lindberg_2004a_1","alpha diversity","taxonomic richness",FALSE,TRUE,TRUE,"Collembola","Autumn","precip_inc","undisturbed vs disturbed",14.9,17,1,1.1,"SE",4,4,"belowground",NA,4750,"Sweden","Medium validity","mesofauna","Collembola","Collembola",1.0651,2.2,2,64.1166666666667,19.45,"detritivore-fungivore","yes","Other",2004,0.129411764705882,0.134228187919463,29.0909090909091,28.0470588235294,"pass",-0.131693405906321,0.00870060743311829,-0.131852131104803,0.00869115281910834,0.000158725198481591,0.0932263526000473,8,0.5,0.707106781186548,1.0774
"10","Lindberg_2004a","Lindberg_2004a_1","alpha diversity","taxonomic richness",FALSE,TRUE,FALSE,"Oribatida","Autumn","precip_inc","undisturbed vs disturbed",26.2,24.5,2.1,1.2,"SE",4,4,"belowground",NA,4750,"Sweden","Medium validity","mesofauna","Oribatida","Acari",1.1158,2.4,4.2,64.1166666666667,19.45,NA,"yes","Other",2004,0.0979591836734694,0.16030534351145,38.4313725490196,23.484593837535,"pass",0.0690990184029138,0.00883520839881068,0.0670862932163698,0.00882345120607416,0.00201272518654394,0.0939332273802735,8,0.5,0.707106781186548,1.0774
